year,constituencyNumber,district,constituency,latitude,longitude,winner,runnerUp,winnerVotes,runnerUpVotes,marginVotes,marginPercentage,magnitude
2001,261,Chandpur,Chandpur2,23.222417,90.665846,4P,AL,78205,50516,27689,21.15,22
2001,262,Chandpur,Chandpur3,23.128994,90.745497,4P,AL,72830,47324,25506,20.62,22
2001,263,Chandpur,Chandpur4,23.233775,90.950117,4P,AL,92829,61740,31089,19.08,21
2001,264,Chandpur,Chandpur5,23.24387,90.84712,4P,AL,110792,94531,16261,7.66,20
2001,265,Chandpur,Chandpur6,23.395203,90.838881,4P,AL,85856,48921,36935,26.85,22
2001,266,Feni,Feni1,23.117628,91.454115,4P,AL,103149,36763,66386,46.47,24
2001,267,Feni,Feni2,23.0077,91.448622,4P,AL,115278,67025,48253,25.70,22
2001,268,Feni,Feni3,22.911598,91.39781,4P,AL,94321,42212,52109,37.77,23
2001,269,Noakhali,Noakhali1,23.031715,91.015835,4P,AL,57555,30876,26679,28.68,22
2001,270,Noakhali,Noakhali2,23.00138,91.175137,4P,AL,158737,72134,86603,33.91,23
2001,271,Noakhali,Noakhali3,22.943218,91.098232,4P,AL,50378,27978,22400,26.00,22
2001,272,Noakhali,Noakhali4,22.783779,91.05978,4P,AL,112095,83998,28097,13.92,21
